 sample | region_wa_hit | region_ea_hit | region_sea_hit | vra_wa_hit | vra_ea_hit | vra_sea_hit | wra_wa_hit | wra_ea_hit | wra_sea_hit | hra_ea_old_hit | hra_ea_old_nowedge_hit | hra_ea_new_hit | ibf_woa_ea_hit | ibf_xrz_ea_hit | ibf_hra_wa_hit | ibf_hra_ea_hit | aoi_sea_hit | jcc_wa_hit | jcc_ea_hit | jcc_sea_hit | atalanta_red_hit | atalanta_goa_hit | atalanta_somali_hit | atalanta_south_hit | atalanta_north_hit | atalanta_indian_hit | irtc_east_hit | irtc_west_hit | strait_malacca_hit | strait_singapore_hit | strait_sunda_hit | bgd_vicinity_hit | nga_naa_hit | nga_la_hit | nga_sts_hit | nga_saa_hit | nga_saa_mez_hit | ben_1_storage_hit | ben_2_tanker_hit | ben_3_tanker_hit | ben_4_sts_hit | tgo_waiting_hit | tgo_berthing_hit | gha_anchorage_hit | gha_sts_hit | region_wa_cov | region_ea_cov | region_sea_cov | vra_wa_cov | vra_ea_cov | vra_sea_cov | wra_wa_cov | wra_ea_cov | wra_sea_cov | hra_ea_old_cov | hra_ea_old_nowedge_cov | hra_ea_new_cov | ibf_woa_ea_cov | ibf_xrz_ea_cov | ibf_hra_wa_cov | ibf_hra_ea_cov | aoi_sea_cov | bgd_vicinity_cov 
--------+---------------+---------------+----------------+------------+------------+-------------+------------+------------+-------------+----------------+------------------------+----------------+----------------+----------------+----------------+----------------+-------------+------------+------------+-------------+------------------+------------------+---------------------+--------------------+--------------------+---------------------+---------------+---------------+--------------------+----------------------+------------------+------------------+-------------+------------+-------------+-------------+-----------------+-------------------+------------------+------------------+---------------+-----------------+------------------+-------------------+-------------+---------------+---------------+----------------+------------+------------+-------------+------------+------------+-------------+----------------+------------------------+----------------+----------------+----------------+----------------+----------------+-------------+------------------
 B      |       1792461 |       2887640 |        6903378 |     725726 |    2358405 |     4473204 |     229319 |    2109759 |      356518 |        2238837 |                1921828 |         946367 |           6149 |        2078264 |         131869 |         631894 |     4340562 |     342963 |    1526968 |     1878817 |           627290 |           535106 |               96662 |             577834 |             911849 |             1180756 |        235999 |        232528 |            1571356 |              1744205 |           194305 |           243144 |       72036 |       9992 |       41020 |       16955 |            4300 |                 0 |              800 |            12349 |          2291 |             856 |            44577 |              8170 |       28070 |             0 |             0 |              0 |          0 |          0 |           0 |          0 |          0 |           0 |              0 |                      0 |              0 |              0 |              0 |              0 |              0 |           0 |                0
 C      |       1836907 |       2950105 |        7093547 |     764410 |    2445014 |     4573874 |     243372 |    2153546 |      394597 |        2339929 |                2022941 |         966996 |           6201 |        2142219 |         142011 |         639048 |     4500244 |     358276 |    1577020 |     1962580 |           638602 |           523942 |              107036 |             594934 |             926652 |             1263246 |        231337 |        246351 |            1629744 |              1856472 |           211309 |           249519 |       74462 |      11997 |       39794 |       21649 |            6588 |                 0 |             1743 |            16105 |          5439 |               0 |            50068 |              9100 |       21965 |             0 |             0 |              0 |          0 |          0 |           0 |          0 |          0 |           0 |              0 |                      0 |              0 |              0 |              0 |              0 |              0 |           0 |                0
 D      |       2032168 |       3272061 |        7359855 |     843999 |    2673628 |     4873309 |     266864 |    2435010 |      340952 |        2575279 |                2162325 |        1031034 |           8394 |        2376049 |         156139 |         628838 |     4775078 |     396578 |    1704615 |     2042779 |           682020 |           521798 |               92324 |             634078 |             950963 |             1283872 |        239760 |        227622 |            1696189 |              1897022 |           178735 |           251270 |       67453 |      10409 |       41077 |       19531 |            2054 |                 0 |             1020 |            18282 |          5569 |               0 |            54965 |              8665 |       28171 |             0 |             0 |              0 |          0 |          0 |           0 |          0 |          0 |           0 |              0 |                      0 |              0 |              0 |              0 |              0 |              0 |           0 |                0
 E      |       2026121 |       3135904 |        7178204 |     817289 |    2539772 |     4721982 |     265650 |    2313980 |      376906 |        2440183 |                2057650 |        1021131 |           5706 |        2265751 |         157289 |         662769 |     4675171 |     392566 |    1659539 |     1995140 |           674301 |           553854 |               92688 |             670378 |             960984 |             1280309 |        255375 |        237535 |            1700202 |              1879110 |           186249 |           244684 |       76878 |      12990 |       37546 |       21602 |            8375 |                 0 |                0 |            25561 |          5808 |             926 |            54619 |              6438 |       29506 |             0 |             0 |              0 |          0 |          0 |           0 |          0 |          0 |           0 |              0 |                      0 |              0 |              0 |              0 |              0 |              0 |           0 |                0
 F      |       1890140 |       3005337 |        7071209 |     816782 |    2495948 |     4632494 |     251968 |    2236119 |      382498 |        2386131 |                2001878 |         976640 |           7717 |        2217730 |         145411 |         635805 |     4518017 |     394479 |    1613536 |     1929962 |           623069 |           525392 |              104284 |             608243 |             915049 |             1214137 |        231921 |        248998 |            1628227 |              1804641 |           182130 |           243277 |       68809 |       8166 |       39891 |       21146 |            7254 |                 0 |                0 |            24333 |          7176 |             646 |            50641 |              8086 |       24607 |             0 |             0 |              0 |          0 |          0 |           0 |          0 |          0 |           0 |              0 |                      0 |              0 |              0 |              0 |              0 |              0 |           0 |                0
 G      |       1928944 |       3069685 |        6993354 |     798345 |    2495963 |     4540933 |     262485 |    2255625 |      322278 |        2394220 |                2034364 |         967294 |           7538 |        2217492 |         135286 |         616050 |     4500642 |     402412 |    1580008 |     1752280 |           639591 |           509898 |               91618 |             554423 |             917308 |             1198029 |        213863 |        219024 |            1475756 |              1530119 |           132494 |           235347 |       57798 |       6908 |       24305 |       14533 |            4299 |                 0 |                0 |            18642 |          2077 |             661 |            46867 |              4846 |       20381 |             0 |             0 |              0 |          0 |          0 |           0 |          0 |          0 |           0 |              0 |                      0 |              0 |              0 |              0 |              0 |              0 |           0 |                0
 H      |       1585384 |       2502760 |        5155339 |     667270 |    2022670 |     3518485 |     215437 |    1858634 |      254123 |        1947067 |                1654144 |         830071 |           6789 |        1818261 |         124340 |         544658 |     3448788 |     333596 |    1315307 |     1431871 |           558540 |           447907 |               85224 |             488431 |             738936 |              952281 |        195444 |        192570 |            1176654 |              1265658 |           116694 |           190305 |       65680 |       6070 |       30251 |       20739 |            6199 |                 0 |              345 |            17836 |          3289 |               0 |            47172 |              3910 |       13079 |             0 |             0 |              0 |          0 |          0 |           0 |          0 |          0 |           0 |              0 |                      0 |              0 |              0 |              0 |              0 |              0 |           0 |                0
 I      |       1370411 |       2193338 |        5453630 |     552071 |    1745339 |     3285944 |     175661 |    1481185 |      218122 |        1628652 |                1442047 |         649802 |           2869 |        1467048 |          85773 |         360072 |     3200497 |     271953 |    1033569 |      993340 |           421825 |           294947 |               49461 |             319549 |             532759 |              689297 |        120323 |        114478 |             796682 |               866000 |            80188 |           168838 |       38591 |       6654 |       18138 |        9348 |            3214 |                 0 |                0 |             9724 |          1948 |             573 |            29978 |              3504 |        8157 |             0 |             0 |              0 |          0 |          0 |           0 |          0 |          0 |           0 |              0 |                      0 |              0 |              0 |              0 |              0 |              0 |           0 |                0
 J      |       1181554 |       1902033 |        5047815 |     459925 |    1445151 |     2769064 |     124008 |    1081202 |      103652 |        1292056 |                1182506 |         415623 |           5336 |        1082117 |          73567 |         199069 |     2717462 |     222115 |     675909 |      622507 |           291961 |           153645 |               25408 |             175815 |             329139 |              419253 |         58307 |         59977 |             464838 |               528390 |            55108 |           160836 |       31125 |       4610 |       13625 |       10789 |            3018 |                 0 |                0 |             7898 |           430 |               0 |            23544 |              2533 |        3064 |             0 |             0 |              0 |          0 |          0 |           0 |          0 |          0 |           0 |              0 |                      0 |              0 |              0 |              0 |              0 |              0 |           0 |                0
 K      |       1909972 |       3044441 |        6906740 |     824376 |    2500123 |     4543481 |     241574 |    2306789 |      385919 |        2415259 |                2013928 |        1019323 |           8649 |        2224818 |         129811 |         669958 |     4483410 |     387230 |    1625424 |     1854215 |           698900 |           566913 |               98780 |             631240 |             882411 |             1226865 |        287624 |        227497 |            1594201 |              1731600 |           178230 |           311393 |       51847 |       9369 |       30405 |       19416 |            8787 |                 0 |              853 |            15988 |          3183 |             809 |            41943 |              6823 |       26650 |             0 |             0 |              0 |          0 |          0 |           0 |          0 |          0 |           0 |              0 |                      0 |              0 |              0 |              0 |              0 |              0 |           0 |                0
(10 rows)

